Emozioni,PleasureMean,Pleasuresd,ArousalMean,Arousalsd,Color,Alpha
Bold,0.44,0.32,0.61,0.24,black,1
Usef,0.70,0.20,0.44,0.28,red,1
Mighty,0.48,0.37,0.51,0.28,blue,1
Kind,0.73,0.22,0.19,0.32,green,1
Self-Satisfied,0.86,0.10,0.20,0.40,yellow,1
Admired,0.81,0.21,0.44,0.30,brown,1
Proud,0.77,0.21,0.38,0.34,grey,1
Interested,0.64,0.20,0.51,0.21,azure,1
Arrogant,0.00,0.51,0.34,0.44,pink,1
Inspired,0.71,0.30,0.63,0.21,orange,1
